,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
341,28417,28419,28410,28415,28421,28410,28422,28417,28442,28442,28440
342,28462,28482,28478,28471,28477,28484,28488,28484,28492,28494,28502
343,28477,28484,28488,28484,28492,28494,28502,28498,28487,28486,28484
344,28498,28487,28486,28484,28475,28479,28508,28517,28520,28542,28533
345,28486,28484,28475,28479,28508,28517,28520,28542,28533,28531,28522
346,28550,28539,28504,28490,28488,28492,28493,28488,28500,28501,28502
347,28493,28488,28500,28501,28502,28502,28503,28516,28516,28515,28518
348,28481,28485,28496,28500,28507,28521,28524,28526,28532,28542,28534
349,28542,28534,28539,28533,28537,28547,28564,28570,28565,28581,28563
350,28544,28543,28532,28524,28526,28526,28526,28532,28532,28530,28538
351,28526,28526,28526,28532,28532,28530,28538,28538,28538,28525,28523
352,28526,28532,28532,28530,28538,28538,28538,28525,28523,28523,28523
353,28538,28538,28538,28525,28523,28523,28523,28535,28535,28534,28529
354,28535,28534,28529,28532,28532,28534,28541,28544,28543,28542,28560
355,28534,28529,28532,28532,28534,28541,28544,28543,28542,28560,28562
356,28562,28570,28560,28553,28547,28546,28545,28548,28548,28548,28540
357,28548,28540,28544,28540,28540,28540,28537,28528,28518,28529,28541
358,28518,28529,28541,28541,28552,28552,28556,28556,28559,28553,28544
359,28552,28552,28556,28556,28559,28553,28544,28535,28533,28537,28526
360,28556,28559,28553,28544,28535,28533,28537,28526,28531,28526,28523
361,28553,28544,28535,28533,28537,28526,28531,28526,28523,28529,28526
362,28526,28526,28521,28505,28505,28485,28479,28483,28471,28478,28478
363,28506,28506,28516,28502,28501,28498,28498,28508,28511,28511,28506
364,28498,28508,28511,28511,28506,28506,28506,28512,28515,28514,28516
365,28514,28516,28509,28510,28514,28505,28505,28495,28492,28492,28476
366,28505,28505,28495,28492,28492,28476,28476,28470,28459,28462,28449
367,28492,28492,28476,28476,28470,28459,28462,28449,28455,28455,28448
368,28476,28476,28470,28459,28462,28449,28455,28455,28448,28454,28444
369,28444,28448,28462,28448,28469,28472,28481,28480,28481,28488,28487
370,28448,28462,28448,28469,28472,28481,28480,28481,28488,28487,28491
371,28480,28481,28488,28487,28491,28490,28480,28483,28489,28489,28487
372,28487,28491,28490,28480,28483,28489,28489,28487,28481,28489,28495
373,28480,28483,28489,28489,28487,28481,28489,28495,28495,28495,28499
374,28483,28489,28489,28487,28481,28489,28495,28495,28495,28499,28493
